Dataset,L,Method,k,w_prime,Seed,Edge_Count,Mat_Time_s,Macro_F1,CKA,Pred_Agreement
HGB_IMDB,4,KGRW,16,16,44,16206,0.0064,0.566042,0.999945,0.999324
HGB_IMDB,4,KGRW,16,16,45,16206,0.0139,0.565037,0.999959,0.999662
HGB_IMDB,4,KGRW,16,16,46,16206,0.006,0.564828,0.999981,0.999662
HGB_IMDB,2,MPRW,,32,42,16232,0.0041,0.540994,0.999982,0.999662
HGB_IMDB,2,MPRW,,32,43,16216,0.0043,0.540889,0.999978,0.998649
HGB_IMDB,2,MPRW,,32,44,16230,0.0043,0.54121,0.999981,0.998986
HGB_IMDB,2,MPRW,,32,45,16216,0.0071,0.541076,0.999976,0.998986
HGB_IMDB,2,MPRW,,32,46,16218,0.0043,0.541324,0.999971,0.999324
HGB_IMDB,2,MPRW,,64,42,16344,0.0111,0.540889,1.0,1.0
HGB_IMDB,2,MPRW,,64,43,16338,0.0079,0.540889,0.999999,0.999662
HGB_IMDB,2,MPRW,,64,44,16340,0.0103,0.540889,0.999998,1.0
HGB_IMDB,2,MPRW,,64,45,16348,0.0079,0.540889,0.999999,1.0
HGB_IMDB,2,MPRW,,64,46,16346,0.01,0.540889,1.0,1.0
HGB_IMDB,2,MPRW,,128,42,16350,0.0167,0.540889,1.0,1.0
HGB_IMDB,2,MPRW,,128,43,16350,0.0196,0.540889,1.0,1.0
HGB_IMDB,2,MPRW,,128,44,16350,0.016,0.540889,1.0,1.0
HGB_IMDB,2,MPRW,,128,45,16350,0.0151,0.540889,1.0,1.0
HGB_IMDB,2,MPRW,,128,46,16350,0.0196,0.540889,1.0,1.0
HGB_IMDB,2,KGRW,4,32,42,12148,0.0077,0.541353,0.995017,0.97973
HGB_IMDB,2,KGRW,4,32,43,12148,0.0072,0.542874,0.995636,0.983446
HGB_IMDB,2,KGRW,4,32,44,12148,0.0073,0.543806,0.995354,0.981757
HGB_IMDB,2,KGRW,4,32,45,12148,0.0072,0.541879,0.995047,0.982095
HGB_IMDB,2,KGRW,4,32,46,12148,0.0073,0.54306,0.994428,0.984797
HGB_IMDB,2,KGRW,4,64,42,12148,0.0118,0.541353,0.995017,0.97973
HGB_IMDB,2,KGRW,4,64,43,12148,0.0195,0.542874,0.995636,0.983446
HGB_IMDB,2,KGRW,4,64,44,12148,0.0123,0.543806,0.995354,0.981757
HGB_IMDB,2,KGRW,4,64,45,12148,0.012,0.541879,0.995047,0.982095
HGB_IMDB,2,KGRW,4,64,46,12148,0.0114,0.54306,0.994428,0.984797
HGB_IMDB,2,KGRW,4,128,42,12148,0.0212,0.541353,0.995017,0.97973
HGB_IMDB,2,KGRW,4,128,43,12148,0.0223,0.542874,0.995636,0.983446
HGB_IMDB,2,KGRW,4,128,44,12148,0.0193,0.543806,0.995354,0.981757
HGB_IMDB,2,KGRW,4,128,45,12148,0.0205,0.541879,0.995047,0.982095
HGB_IMDB,2,KGRW,4,128,46,12148,0.0241,0.54306,0.994428,0.984797
HGB_IMDB,2,KGRW,8,32,42,14996,0.0103,0.54155,0.999604,0.998311
HGB_IMDB,2,KGRW,8,32,43,14996,0.0089,0.541519,0.99959,0.995608
HGB_IMDB,2,KGRW,8,32,44,14996,0.0105,0.54134,0.999674,0.997973
HGB_IMDB,2,KGRW,8,32,45,14996,0.0087,0.540445,0.999151,0.996622
HGB_IMDB,2,KGRW,8,32,46,14996,0.0146,0.540605,0.999468,0.995946
HGB_IMDB,2,KGRW,8,64,42,14996,0.0195,0.54155,0.999604,0.998311
