Dataset,L,Method,k,w_prime,Seed,Edge_Count,Mat_Time_s,Macro_F1,CKA,Pred_Agreement
HGB_ACM,2,KGRW,64,32,46,120342,0.0232,0.891127,0.999509,0.997247
HGB_ACM,2,KGRW,64,64,42,130896,0.0452,0.890016,0.999929,0.999449
HGB_ACM,2,KGRW,64,64,43,130878,0.0429,0.891123,0.999887,0.999449
HGB_ACM,2,KGRW,64,64,44,130190,0.0363,0.890539,0.999945,0.998899
HGB_ACM,2,KGRW,64,64,45,130762,0.0366,0.890016,0.999925,0.999449
HGB_ACM,2,KGRW,64,64,46,130266,0.0365,0.890016,0.999925,0.999449
HGB_ACM,2,KGRW,64,128,42,134234,0.0633,0.89057,0.999994,1.0
HGB_ACM,2,KGRW,64,128,43,134108,0.0615,0.891123,0.999991,0.999449
HGB_ACM,2,KGRW,64,128,44,133966,0.0603,0.89057,0.999994,1.0
HGB_ACM,2,KGRW,64,128,45,134046,0.0617,0.89057,0.999989,1.0
HGB_ACM,2,KGRW,64,128,46,133872,0.0599,0.89057,0.99999,1.0
HGB_ACM,2,KGRW,64,256,42,134834,0.114,0.89057,0.999999,1.0
HGB_ACM,2,KGRW,64,256,43,134826,0.1003,0.89057,0.999998,1.0
HGB_ACM,2,KGRW,64,256,44,134832,0.1,0.89057,0.999999,1.0
HGB_ACM,2,KGRW,64,256,45,134846,0.0983,0.89057,0.999999,1.0
HGB_ACM,2,KGRW,64,256,46,134802,0.0995,0.89057,0.999998,1.0
HGB_ACM,2,KGRW,64,512,42,135006,0.1729,0.89057,0.999999,1.0
HGB_ACM,2,KGRW,64,512,43,134992,0.1684,0.89057,0.999999,1.0
HGB_ACM,2,KGRW,64,512,44,134894,0.1666,0.89057,0.999998,1.0
HGB_ACM,2,KGRW,64,512,45,135058,0.1685,0.89057,0.999999,1.0
HGB_ACM,2,KGRW,64,512,46,134938,0.1771,0.89057,0.999999,1.0
HGB_ACM,2,KGRW,128,2,42,46362,0.0052,0.90427,0.988036,0.975771
HGB_ACM,2,KGRW,128,2,43,46490,0.005,0.90257,0.989022,0.980727
HGB_ACM,2,KGRW,128,2,44,46832,0.0052,0.903073,0.988077,0.975771
HGB_ACM,2,KGRW,128,2,45,46062,0.0052,0.905849,0.98792,0.97522
HGB_ACM,2,KGRW,128,2,46,46438,0.0086,0.90427,0.987934,0.974119
HGB_ACM,2,KGRW,128,4,42,62780,0.007,0.897593,0.99232,0.980176
HGB_ACM,2,KGRW,128,4,43,61618,0.0067,0.901889,0.992094,0.981828
HGB_ACM,2,KGRW,128,4,44,62496,0.0068,0.901596,0.991902,0.980176
HGB_ACM,2,KGRW,128,4,45,62832,0.0136,0.901843,0.992607,0.980727
HGB_ACM,2,KGRW,128,4,46,61930,0.0156,0.902639,0.992461,0.982379
HGB_ACM,2,KGRW,128,8,42,83362,0.0177,0.893372,0.995622,0.986233
HGB_ACM,2,KGRW,128,8,43,81668,0.0102,0.896026,0.995576,0.986784
HGB_ACM,2,KGRW,128,8,44,83238,0.0099,0.897073,0.995793,0.985683
HGB_ACM,2,KGRW,128,8,45,83046,0.0104,0.898023,0.996045,0.985683
HGB_ACM,2,KGRW,128,8,46,81684,0.0103,0.898146,0.99584,0.986784
HGB_ACM,2,KGRW,128,16,42,104228,0.0183,0.892263,0.99814,0.992841
